dataset	method	module	n_control	n_tumor	mean_control	mean_tumor	logFC	p	auc	fdr
GSE71989	gsva_ssgsea	t_cell	8	13	0.1062892603290078	0.3031288070495277	0.1968395467205199	0.0045407636738906	0.8653846153846154	0.0092747513339042
GSE71989	gsva_ssgsea	b_cell	8	13	0.047244630183862	0.1441290878715887	0.0968844576877266	0.8044424787458844	0.5384615384615384	0.8876606662023552
GSE71989	gsva_ssgsea	endothelial	8	13	0.3951744185629541	0.4009164243443515	0.0057420057813973	0.9717725686765936	0.4903846153846153	1.0
GSE71989	gsva_ssgsea	ductal_epithelial	8	13	0.5181667971507573	0.5742669941892181	0.0561001970384608	0.015922158337019	0.8173076923076923	0.0283060592658115
GSE71989	gsva_ssgsea	acinar_normal	8	13	0.7391344879846435	0.4260408880269675	-0.313093599957676	0.0045407636738906	0.1346153846153846	0.0092747513339042
GSE71989	gsva_ssgsea	endocrine_normal	8	13	0.707283317602761	0.1317488190065764	-0.5755344985961846	0.0006585090176421446	0.0769230769230769	0.001620945274196
GSE71989	marker_zscore	caf_fibroblast	8	13	-1.0121758251441269	0.6228774308579242	1.6350532560020512	6.879944960440316e-05	0.971153846153846	0.0002641898864809081
GSE71989	marker_zscore	immune_myeloid	8	13	-0.8706739894697038	0.5357993781352026	1.4064733676049064	0.00011794191360754829	0.9615384615384616	0.00037741412354415447
GSE71989	marker_zscore	t_cell	8	13	-0.4537544532702445	0.279233509704766	0.7329879629750105	0.0445525578652513	0.7692307692307693	0.0724922975434598
GSE71989	marker_zscore	b_cell	8	13	-0.203680995414547	0.1253421510243367	0.3290231464388837	0.7501007420512065	0.4519230769230769	0.8373217585687887
GSE71989	marker_zscore	endothelial	8	13	-0.0610083333343981	0.037543589744245	0.0985519230786432	0.9717725686765936	0.4903846153846153	1.0
GSE71989	marker_zscore	ductal_epithelial	8	13	-0.1886435469344634	0.1160883365750542	0.3047318835095176	0.301125362425672	0.6442307692307693	0.4251181587185959
GSE71989	marker_zscore	acinar_normal	8	13	0.8087675361689018	-0.4977030991808628	-1.3064706353497648	0.0059560666371811	0.1442307692307692	0.0116690285136611
GSE71989	marker_zscore	endocrine_normal	8	13	0.7929346889536124	-0.4879598085868384	-1.2808944975404508	0.0045407636738906	0.1346153846153846	0.0092747513339042
GSE91035	gsva_ssgsea	caf_fibroblast	8	25	0.334739796233815	0.5482583952820369	0.2135185990482219	1.728589047832652e-06	0.98	1.1062969906128971e-05
GSE91035	gsva_ssgsea	immune_myeloid	8	25	0.318024484171051	0.4383032975235659	0.1202788133525148	0.0003023590342833947	0.9	0.0008293276368915969
GSE91035	gsva_ssgsea	t_cell	8	25	0.0487092865972191	0.2049334748995115	0.1562241883022924	0.0015345549272134	0.86	0.0035931042198168
GSE91035	gsva_ssgsea	b_cell	8	25	0.0297208235626726	0.0704679136521684	0.0407470900894958	0.9507830364337596	0.49	1.0
GSE91035	gsva_ssgsea	endothelial	8	25	0.1541074396953691	0.1400783983459238	-0.0140290413494452	0.3737693526347586	0.39	0.5053782796188285
GSE91035	gsva_ssgsea	ductal_epithelial	8	25	0.5054436074251462	0.4960537887210346	-0.0093898187041114	1.0	0.5	1.0
GSE91035	gsva_ssgsea	acinar_normal	8	25	0.6421489810321335	0.2722358107248517	-0.3699131703072817	0.00014765031450237234	0.085	0.0004572396836202498
GSE91035	gsva_ssgsea	endocrine_normal	8	25	0.5937333808237247	0.2183628598235993	-0.3753705210001253	2.708122841604488e-05	0.055	0.00013683146989159516
GSE91035	marker_zscore	caf_fibroblast	8	25	-1.040263762059551	0.6170043305188847	1.6572680925784358	1.0083436112357137e-06	0.985	6.914356191330607e-06
GSE91035	marker_zscore	immune_myeloid	8	25	-0.85890752873987	0.3518937791637983	1.2108013079036684	0.0003023590342833947	0.9	0.0008293276368915969
GSE91035	marker_zscore	t_cell	8	25	-0.8433114992796604	0.1487053572751131	0.9920168565547736	0.0004698881228358425	0.89	0.0011870857840063
GSE91035	marker_zscore	b_cell	8	25	-0.2879354623746968	0.1151528049115995	0.4030882672862963	0.6355542245419887	0.56	0.7626650694503865
GSE91035	marker_zscore	endothelial	8	25	-0.032044891944672	-0.0489958523385085	-0.0169509603938365	0.6652994967789184	0.445	0.7847960371705572
GSE91035	marker_zscore	ductal_epithelial	8	25	-0.0544020760568369	0.1355781635215889	0.1899802395784258	0.2200663835814002	0.65	0.3153189973703645
GSE91035	marker_zscore	acinar_normal	8	25	0.975277415094156	-0.4811334643590196	-1.4564108794531756	0.0003779848051260732	0.105	0.0009807173322190009
GSE91035	marker_zscore	endocrine_normal	8	25	0.8231698567546463	-0.3091268704430067	-1.132296727197653	0.00023984173038678043	0.095	0.0006977213974888158
